"brand","model","fuel_type","drop_percent"
audi,a5 2.0t prestige,gasoline,41.52735264107998
audi,a5 2.0t premium plus,gasoline,45.52526639210303
audi,a5 2.0t premium,gasoline,54.1303619302949
audi,a5 2.0t premium plus,gasoline,12.863088623041556
audi,a5 2.0t premium,gasoline,43.469336461126005
audi,a5 2.0t premium plus,gasoline,34.647316467281165
audi,a5 2.0t premium plus,gasoline,43.947615000762674
audi,a5 2.0t premium,gasoline,22.304373324396785
audi,a5 2.0t prestige,gasoline,40.15383407895769
audi,a5 2.0t premium plus,gasoline,30.276088993484564
audi,a5 2.0t premium plus,gasoline,45.54487808066941
audi,a5 2.0t premium plus,gasoline,28.10137063912314
audi,a5 2.0t premium,gasoline,30.887650804289546
audi,a5 2.0t prestige,gasoline,30.472490385370065
audi,a5 2.0t premium,gasoline,34.02312332439678
audi,a5 2.0t premium,gasoline,37.175351876675606
audi,a5 2.0t premium,gasoline,26.711209785522787
audi,a5 2.0t premium,gasoline,52.035857908847184
audi,a5 2.0t premium plus,gasoline,25.466867141705347
audi,a5 2.0t prestige,gasoline,39.1923710854721
audi,a5 2.0t premium plus,gasoline,21.60772264714214
audi,a5 2.0t premium plus,gasoline,34.63860016125166
audi,a5 2.0t premium plus,gasoline,38.99675317600401
audi,a5 2.0t prestige,gasoline,41.72356957852602
audi,a5 2.0t prestige,gasoline,56.84208460874343
audi,a5 2.0t premium plus,gasoline,41.17582968338019
audi,a5 2.0t prestige,gasoline,29.97409936425712
audi,a5 2.0t premium plus,gasoline,32.557582096707414
audi,a5 2.0t premium,gasoline,60.41387399463807
audi,a5 2.0t premium plus,gasoline,21.59682726460526
audi,a5 2.0t premium plus,gasoline,26.020352574578894
audi,a5 2.0t premium plus,gasoline,47.702163822971826
audi,a5 2.0t premium plus,gasoline,30.291342529036196
audi,a5 2.0t premium plus,gasoline,32.452986424353355
audi,a5 2.0t prestige,gasoline,41.23302723491092
audi,a5 2.0t premium plus,gasoline,45.5274454686104
